Date,Sales
2024-01-01,120
2024-01-02,125
2024-01-03,130
2024-01-04,135
2024-01-05,140
2024-01-06,130
2024-01-07,135
2024-01-08,140
2024-01-09,145
2024-01-10,150
2024-01-11,140
2024-01-12,145
2024-01-13,150
2024-01-14,155
2024-01-15,160
2024-01-16,150
2024-01-17,155
2024-01-18,160
2024-01-19,165
2024-01-20,170
2024-01-21,160
2024-01-22,165
2024-01-23,170
2024-01-24,175
2024-01-25,180
2024-01-26,170
2024-01-27,175
2024-01-28,180
2024-01-29,185
2024-01-30,190
2024-01-31,180
2024-02-01,185
2024-02-02,190
2024-02-03,195
2024-02-04,200
2024-02-05,190
2024-02-06,195
2024-02-07,200
2024-02-08,205
2024-02-09,210
2024-02-10,200
2024-02-11,205
2024-02-12,210
2024-02-13,215
2024-02-14,220
2024-02-15,210
2024-02-16,215
2024-02-17,220
2024-02-18,225
2024-02-19,230
2024-02-20,220
2024-02-21,225
2024-02-22,230
2024-02-23,235
2024-02-24,240
2024-02-25,230
2024-02-26,235
2024-02-27,240
2024-02-28,245
2024-02-29,250
2024-03-01,240
2024-03-02,245
2024-03-03,250
2024-03-04,255
2024-03-05,260
2024-03-06,250
2024-03-07,255
2024-03-08,260
2024-03-09,265
2024-03-10,270
2024-03-11,260
2024-03-12,265
2024-03-13,270
2024-03-14,275
2024-03-15,280
2024-03-16,270
2024-03-17,275
2024-03-18,280
2024-03-19,285
2024-03-20,290
2024-03-21,280
2024-03-22,285
2024-03-23,290
2024-03-24,295
2024-03-25,300
2024-03-26,290
2024-03-27,295
2024-03-28,300
2024-03-29,305
2024-03-30,310
2024-03-31,300
2024-04-01,305
2024-04-02,310
2024-04-03,315
2024-04-04,320
2024-04-05,310
2024-04-06,315
2024-04-07,320
2024-04-08,325
2024-04-09,330
